"story","6"
"doing","6"
"tired","6"
"drake","6"
"click","5"
"turn","5"
"gold","5"
"b","5"
"making","5"
"gone","5"
"order","5"
"crazy","5"
"save","5"
"top","5"
"full","5"
"water","5"
"boards","5"
"mad","5"
"band","5"
"relationship","5"
"many","5"
"stay","5"
"apple","5"
"sunshine","5"
"mon","5"
"lose","5"
"eat","5"
"nashs","5"
"hungry","5"
"against","5"
"unfollowed","5"
"honestly","5"
"around","5"
"wanted","5"
"maybe","5"
"tour","5"
"might","5"
"fan","5"
"gain","5"
"bc","5"
"justin","5"
"id","5"
"follows","5"
"breaking","5"
"seen","5"
"country","5"
"cool","5"
"proud","5"
"york","5"
"young","5"
"american","5"
"guy","5"
"pic","5"
"gameinsight","5"
"events","5"
"ppl","5"
"weight","5"
"vote","5"
"put","5"
"september","5"
"clean","5"
"comes","5"
"calls","5"
"together","5"
"since","5"
"actually","5"
"wonder","5"
"pictures","5"
"listening","5"
"post","5"
"fucked","5"
"ago","5"
"theyre","5"
"using","5"
"art","5"
"asf","5"
"babies","5"
"both","5"
"kiss","5"
"words","5"
"beauty","5"
"deep","5"
"tues","5"
"place","5"
"lead","5"
"goes","5"
"tbh","5"
"car","5"
"ready","5"
"half","4"
"c","4"
"m","4"
"p","4"
"r","4"
"ticket","4"
"taking","4"
"woman","4"
"loves","4"
"spirit","4"
"cut","4"
"moment","4"
"jacket","4"
"start","4"
"dad","4"
"minutes","4"
"smiles","4"
"under","4"
"forward","4"
"likes","4"
"exactly","4"
"mercy","4"
"bruh","4"
"incredible","4"
"money","4"
"mom","4"
"ashton","4"
"personalized","4"
"instead","4"
"cloudy","4"
"super","4"
"feels","4"
"expectations","4"
"catch","4"
"bring","4"
"grow","4"
"peace","4"
"whos","4"
"search","4"
"food","4"
"da","4"
"wow","4"
"image","4"
"watching","4"
"feeling","4"
"dream","4"
"head","4"
"ol","4"
"sitting","4"
"email","4"
"st","4"
"pandora","4"
"started","4"
"tf","4"
"support","4"
"leather","4"
"blog","4"
"everybody","4"
"remembers","4"
"working","4"
"plz","4"
"difference","4"
"anything","4"
"yesterday","4"
"travel","4"
"pussy","4"
"beat","4"
"group","4"
"clear","4"
"festival","4"
"hoe","4"
"sometimes","4"
"tracks","4"
"michael","4"
"able","4"
"forget","4"
"fair","4"
"anyone","4"
"fall","4"
